journal,num_articles
acta pharmacologica sinica,2308
american journal of physiology-cell physiology,2696
american journal of physiology-endocrinology and metabolism,2600
american journal of physiology-gastrointestinal and liver physiology,2239
american journal of physiology-heart and circulatory physiology,3674
american journal of physiology-lung cellular and molecular physiology,2488
american journal of physiology-regulatory integrative and comparative physiology,2720
american journal of physiology-renal physiology,3106
antioxidants & redox signaling,1271
arthritis & rheumatology,1504
blood cancer journal,457
bone & joint research,263
bone marrow transplantation,550
brain,2839
british journal of cancer,2909
british journal of pharmacology,3868
cancer,1239
cancer discovery,394
cancer gene therapy,1126
cancer immunology research,408
cancer research,1343
cellular & molecular immunology,863
circulation,1033
circulation research,907
circulation-arrhythmia and electrophysiology,221
circulation-cardiovascular imaging,194
circulation-cardiovascular interventions,153
circulation-cardiovascular quality and outcomes,90
circulation-genomic and precision medicine,76
clinical & translational immunology,436
clinical cancer research,4888
diabetes,3451
diabetologia,1981
experimental physiology,883
gene therapy,1180
general physiology,829
genetics in medicine,586
heart,715
horticulture research,1516
international journal of obesity,1413
jacc-clinical electrophysiology,458
jacc: cardiooncology,75
journal of applied physiology,3597
journal of bone and mineral research,2052
journal of cerebral blood flow and metabolism,1256
journal of molecular and cellular cardiology,2181
journal of molecular endocrinology,42
journal of neurophysiology,5221
journal of physiology-london,2357
journal of rheumatology,838
journal of the american heart association,1339
kidney international,1795
leukemia,2098
mucosal immunology,1393
nature genetics,2084
nature human behaviour,552
nature immunology,1726
nature metabolism,685
nature neuroscience,2446
npj breast cancer,406
npj genomic medicine,235
npj parkinsons disease,691
npj precision oncology,748
npj vaccines,956
nutrition & diabetes,282
oncogene,6802
oncogenesis,824
physiological genomics,845
plos genetics,7272
prostate cancer and prostatic diseases,230
stroke,747
