journal,n_bar_or_informative
Acta pharmacologica Sinica,2308
American journal of physiology. Cell physiology,2696
American journal of physiology. Endocrinology and metabolism,2600
American journal of physiology. Gastrointestinal and liver physiology,2239
American journal of physiology. Heart and circulatory physiology,3674
American journal of physiology. Lung cellular and molecular physiology,2488
"American journal of physiology. Regulatory, integrative and comparative physiology",2719
American journal of physiology. Renal physiology,3106
Antioxidants &amp; redox signaling,1271
"Arthritis &amp; rheumatology (Hoboken, N.J.)",1504
Blood cancer journal,457
Bone &amp; joint research,485
Bone marrow transplantation,550
Brain : a journal of neurology,2839
British journal of cancer,2909
British journal of pharmacology,3868
Cancer,1239
Cancer discovery,1156
Cancer gene therapy,1126
Cancer immunology research,1283
Cancer research,7344
Cellular &amp; molecular immunology,863
Circulation,2372
Circulation research,2180
Circulation. Arrhythmia and electrophysiology,625
Circulation. Cardiovascular imaging,517
Circulation. Cardiovascular interventions,450
Circulation. Cardiovascular quality and outcomes,265
Circulation. Genomic and precision medicine,183
Clinical &amp; translational immunology,437
Clinical cancer research : an official journal of the American Association for Cancer Research,5767
Diabetes,3443
Diabetologia,1981
Experimental physiology,1629
Gene therapy,1180
Genetics in medicine : official journal of the American College of Medical Genetics,609
Heart (British Cardiac Society),715
Horticulture research,1516
International journal of obesity (2005),1413
JACC. CardioOncology,75
JACC. Clinical electrophysiology,458
"Journal of applied physiology (Bethesda, Md. : 1985)",3597
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2052
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2141
Journal of molecular and cellular cardiology,2181
Journal of molecular endocrinology,681
Journal of neurophysiology,5221
Journal of the American Heart Association,3835
Kidney international,1795
Leukemia,2098
Mucosal immunology,1393
NPJ Parkinson's disease,691
NPJ breast cancer,406
NPJ genomic medicine,235
NPJ precision oncology,748
NPJ vaccines,956
Nature genetics,2084
Nature human behaviour,552
Nature immunology,1726
Nature metabolism,685
Nature neuroscience,2446
Nutrition &amp; diabetes,282
Oncogene,6802
Oncogenesis,824
PLoS genetics,7272
Physiological genomics,845
Prostate cancer and prostatic diseases,230
Stroke,1891
The Journal of general physiology,829
The Journal of physiology,4061
The Journal of rheumatology,838
